BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2458019.44060285	0.997247	0.003043	2.418049	636.900332	2458019.434178	619211.229622	529.236309	529.313948	5.174585
2458019.44200383	0.998297	0.003038	2.384111	635.305031	2458019.435579	622974.602462	528.371802	529.185279	5.108657
2458019.44339281	0.991315	0.002971	2.351421	636.704142	2458019.436968	623497.598035	528.49672	529.250488	4.987107
2458019.44479279	0.993510	0.003007	2.319394	634.106195	2458019.438368	620520.644165	529.397464	529.497556	5.107146
2458019.44619377	1.000383	0.003126	2.288270	632.078788	2458019.439769	618116.327302	529.400884	529.773467	5.282509
2458019.44758175	0.998820	0.003074	2.258261	635.07362	2458019.441157	612122.924365	528.696849	529.406213	5.161868
2458019.44898273	1.000663	0.003385	2.228835	644.70904	2458019.442558	525575.615792	529.045297	529.602033	5.036187
2458019.45038271	1.000590	0.003830	2.200211	650.492711	2458019.443958	473918.211776	529.852651	529.277752	5.319599
2458019.45177169	0.994669	0.004001	2.172589	659.215743	2458019.445347	437885.947358	529.381387	529.287357	5.234904
2458019.45317267	0.991460	0.004394	2.145479	672.016077	2458019.446748	397357.208339	530.499823	528.991162	5.144745
2458019.45818306	1.001097	0.003271	2.054172	648.962382	2458019.451759	583122.338357	531.061022	529.201285	5.307593
2458019.45957258	0.993939	0.003209	2.030343	644.899687	2458019.453148	611823.981499	531.123985	529.037548	5.38241
2458019.46097356	0.996631	0.004094	2.006923	656.967846	2458019.454549	445084.923789	531.577568	528.898994	5.406875
2458019.46236254	1.009249	0.003784	1.984278	651.376855	2458019.455938	489752.400007	531.962085	528.960991	5.287739
2458019.46376252	0.996900	0.003147	1.962011	632.990769	2458019.457338	618245.907104	532.027435	528.942343	5.223505
2458019.46515150	0.993008	0.003432	1.940471	641.020772	2458019.458727	543685.62205	531.739065	528.628739	5.308128
2458019.46655148	0.996491	0.005388	1.919281	672.984127	2458019.460127	301131.090203	530.363472	528.378479	5.190352
2458019.46794046	0.989861	0.006335	1.898775	693.184713	2458019.461516	271310.383957	530.988953	528.82242	5.504987
2458040.33374742	1.000537	0.002956	4.813513	576.557994	2458040.327951	630158.760828	549.03157	531.708921	5.087855
2458040.33514835	0.998147	0.002906	4.683040	575.630178	2458040.329352	631518.300392	550.51734	532.230041	4.958832
2458040.33654829	1.001494	0.002875	4.559133	577.344928	2458040.330752	628169.020414	550.243202	532.659309	4.903197
2458040.33793722	0.999496	0.002893	4.442279	574.473214	2458040.332141	630749.157709	550.589128	533.132392	4.947282
2458040.33933816	1.002635	0.002935	4.330113	575.003125	2458040.333542	630492.396502	551.580964	533.464239	4.98712
2458040.34072709	1.001345	0.002932	4.224109	572.167155	2458040.334931	631500.363767	551.987029	533.752797	5.021213
2458040.34212703	1.000551	0.002903	4.122153	573.46988	2458040.336331	629752.624042	552.054503	533.828471	4.976016
2458040.34351596	1.002438	0.002938	4.025612	571.540717	2458040.33772	628128.369201	551.648477	534.068961	5.003289
2458040.34491590	0.999039	0.002959	3.932585	570.345566	2458040.33912	627765.038811	551.817343	534.294631	5.15913
2458040.34631683	1.001793	0.002936	3.843623	568.604863	2458040.340521	626702.280827	552.148959	534.63919	5.131312
2458040.34770577	0.996332	0.002946	3.759278	570.693603	2458040.34191	629225.988406	552.469185	534.6495	5.078396
2458040.34910570	0.999679	0.003014	3.677988	570.438272	2458040.34331	627225.458935	552.752075	535.134771	5.246475
2458040.35049464	0.993891	0.002991	3.600667	570.11465	2458040.344699	627804.12988	553.027986	534.677522	5.216485
2458040.35189557	0.994770	0.002944	3.525835	571.617647	2458040.3461	629582.490933	553.192612	534.99743	5.079447
2458040.35328351	0.997281	0.002986	3.454554	567.805643	2458040.347488	628911.219282	553.354226	535.172664	5.204667
2458040.35468444	0.999384	0.002953	3.385472	563.624625	2458040.348889	627491.486307	553.913326	535.323979	5.127578
2458040.35608438	0.997366	0.002989	3.319042	566.162791	2458040.350289	629412.679646	554.160582	535.397061	5.211435
2458040.35747331	0.995786	0.002932	3.255639	565.878698	2458040.351678	628016.415341	554.808792	535.423346	5.134457
2458040.35887425	0.994698	0.002943	3.194076	564.794479	2458040.353079	625612.320525	554.759204	535.505761	5.157523
2458040.36026318	0.999158	0.002985	3.135248	563.746269	2458040.354468	627689.253168	554.704835	535.688216	5.251955
2458040.36166312	0.998918	0.002945	3.078059	563.831288	2458040.355868	626581.593928	555.638358	535.781808	5.194539
2458040.36305205	1.001013	0.002956	3.023350	565.411079	2458040.357257	623943.832142	555.596327	535.427898	5.193741
2458040.36445198	0.996411	0.002974	2.970108	566.011976	2458040.358657	623324.617796	555.856019	535.447955	5.207467
2458040.36584092	0.996269	0.002950	2.919120	565.971182	2458040.360046	624929.916907	555.995366	535.707507	5.117902
2458040.36724185	0.993870	0.002991	2.869449	566.738739	2458040.361447	623776.425348	555.843794	535.576818	5.245338
2458040.36863079	0.988648	0.002983	2.821834	565.482955	2458040.362836	622861.782099	555.878031	535.785601	5.242841
2458040.37003072	0.988918	0.003019	2.775405	562.901274	2458040.364236	619723.246653	556.187547	535.694757	5.328786
2458040.37141966	0.983324	0.003175	2.730855	566.153094	2458040.365625	616769.645678	556.671917	535.75714	5.709898
